,lr,svm,rf,dt,xgb,knn,ab
rouge-1 r,0.5930562312411767,0.6041652007893394,0.5895743499251391,0.5724776628614106,0.6045990635201178,0.5699670433871351,0.540220970507001
rouge-1 p,0.257130843248694,0.24946146528548277,0.25699122141675307,0.2536142829843368,0.2535928179790367,0.2543879527520565,0.26951713107454667
rouge-1 f,0.345325901455904,0.34010509446121856,0.3436524771094103,0.33903974405586945,0.3451423515337472,0.33800653969738687,0.3452383620700552
rouge-2 r,0.31141186192305187,0.31539742794360914,0.3093176205680064,0.2910809161165571,0.3186772639994586,0.29124547586092925,0.2751814006604549
rouge-2 p,0.11695166127940287,0.11144008321963848,0.11615651368562332,0.1115815596945483,0.11450031641956233,0.11308158467658996,0.12096095634519377
rouge-2 f,0.1625459868537606,0.15797560372360636,0.16066845511652908,0.1547861070037252,0.1620601699254402,0.15524390797895665,0.1603134458914707
rouge-l r,0.5530413999734732,0.5633650919830168,0.5499764148390006,0.533798845366007,0.5649645872498703,0.5312011960122077,0.49987156239145997
rouge-l p,0.2390342411430456,0.23202894614957295,0.23913148288824715,0.23591847878182193,0.23640973678888133,0.2366641276361534,0.24884044145089634
rouge-l f,0.32137140574349027,0.3167156920987699,0.3199402393801743,0.3156864284118661,0.3221218758964239,0.3146281919110061,0.31901365875720905
